question,content
Em bị bệnh gout đã gần 10 năm uống nhiều nhiều loại thuốc (cả đông và tây y) nhưng không khỏi. Em nhờ các bác sĩ tư vấn giúp nên dùng loại thuốc nào để điều trị và thực đơn ăn uống thế nào cho hợp lý.,"Theo những thông tin mà chị cung cấp, chúng tôi không rõ bệnh lý của chị đã ở mức độ nào. Trường hợp của chị nên đi khám bác sĩ chuyên khoa để có sự cụ thể hơn."
"Tôi có tiền sử huyết áp cao, gout, thoái hóa cột sống cổ, đang uống thuốc điều trị huyết áp, gout. Tôi có thể tiêm vaccine ngừa Covid-19 không?","Theo thông tin hướng dẫn của Bộ Y tế thì người có bệnh lý nền, bệnh mạn tính điều trị ổn định nằm trong nhóm đối tượng cần được khám sàng lọc và tiêm tại bệnh viện hoặc các cơ sở y tế có năng lực cấp cứu ban đầu."
- Một trường hợp bị bệnh gout và pulip túi mật (cả 2 bệnh không phải uống thuốc mỗi ngày).- Một trường họp bị bệnh nhân sơ tử cung và nan tuyến vú (cả 2 bệnh không phải uống thuốc mỗi ngày).Vậy cả 2 trường hợp trên có tiêm được vaccine ngừa covid được không ạ?,"Theo những thông tin mà bạn mô tả, nếu các bệnh lý này đang ổn định và đang được kiểm soát trong vòng 3 tháng qua không ảnh hưởng đến sức khỏe của bạn thì theo hướng dẫn mới nhất 2995 của Bộ Y tế ngày 18/06/2021 của Bộ Y tế thì bạn vẫn được tiêm vaccine phòng Covid-19 bình thường."
Duy trì chế độ ăn uống như thế nào để tăng huyết áp mà không ảnh hưởng đến bệnh gout và suy thận độ 2?,"Bệnh Gout và suy thận là những yếu tố nguy cơ của bệnh lý tim mạch. Vì thế bác nên đến cơ sở y tế hoặc bệnh viện thuộc Hệ thống Y tế Vinmec để khám chuyên khoa tim mạch, tại đây các bác sĩ sẽ xác định huyết áp thấp do nguyên nhân gì (có thể do: bẩm sinh, suy tim. . . . ), sau đó bác nên khám chuyên khoa dinh dưỡng để được tư vấn chế độ ăn phù hợp cho từng bệnh lý mà không ảnh hưởng đến tiền sử bệnh cũ."
Người bị bệnh gout sử dụng sữa ong chúa hằng ngày có được không?,"Bệnh gout (gút) hay còn gọi thống phong, là bệnh do rối loạn chuyển hóa nhân purin trong thận, khiến thận không thể lọc axit uric từ trong máu. Axit uric thường vô hại và được hình thành trong cơ thể, sau đó sẽ được đào thải qua nước tiểu và phân. Với người bị bệnh gout, lượng axit uric trong máu được tích tụ qua thời gian. Khi nồng độ này quá cao, những tinh thể nhỏ của axit uric được hình thành. Những tinh thể này tập trung lại ở khớp và gây viêm, sưng và đau đớn cho bệnh nhân. Bệnh gout đặc trưng bởi những đợt viêm khớp cấp tái phát, người bệnh thường xuyên bị đau đớn đột ngột giữa đêm và sưng đỏ các khớp khi đợt viêm cấp bùng phát, đặc biệt là các khớp ở ngón chân cái, nhưng cũng có thể ảnh hưởng tới các khớp khác ở chân (như đầu gối, mắt cá chân, bàn chân) và ít gặp hơn ở khớp tay (bàn tay, cổ tay, khuỷu tay), cả cột sống cũng có thể bị ảnh hưởng.Nguyên tắc điều trị bệnh gút là điều trị viêm khớp trong cơn gout cấp. Dự phòng tái phát cơn gout, dự phòng lắng đọng urat trong các mô và dự phòng biến chứng thông qua điều trị hội chứng tăng acid uric máu với mục tiêu kiểm soát acid uric máu dưới 360 mmol/l (60 mg/l) với gout chưa có nốt tophi và dưới 320 mmol/l (50 mg/l) với gout có nốt tophi.Sữa ong chúa là một chất có dạng gelatin (dạng keo) được sản xuất bởi những con ong thợi để nuôi ong chúa và con non của chúng. Sữa ong chúa thường được bán như một chất dinh dưỡng bổ sung trong chế độ ăn uống nhằm điều trị một số bệnh về thể chất và các bệnh mãn tính. Do vậy, sữa ong chúa chỉ là một loại thực phẩm bổ sung, không phải là thuốc chữa bệnh gút. Bạn cần đến gặp bác sĩ chuyên khoa cơ xương khớp để được tư vấn điều trị gout lâu dài."
"Tôi năm nay 45 tuổi, có bị bệnh gout (đã chữa ổn định ) bị dị ứng với các loại kháng viêm, dị ứng nhiều loại giảm đau. Vậy tôi có chích ngừa vaccine Covid-19 được không?","Nếu mức độ dị ứng của Anh/Chị là nhẹ thì vẫn có thể tiêm ngừa vaccine Covid-19 tại các cơ sở bệnh viện. Khi đi tiêm Anh/Chị vui lòng khai báo tình trạng sức khỏe, tiền sử dị ứng cho bác sĩ khám sàng lọc."
Uống 2 loại thuốc chữa gout Colchicin và Alluphenul cùng một ngày có được không?,Hai loại thuốc điều trị gout này chưa ghi nhận tương tác với nhau vì thế bạn có thể uống cả hai loại trong cùng một ngày được.
Bệnh gout cấp tính nên sử dụng thuốc nào?,"Gout là bệnh do rối loạn chuyển hoá các nhân purin, có đặc điểm chính là tăng acid uric máu. Bệnh thường gặp ở nam giới tuổi trung niên. Nguyên nhân chính gây bệnh gout là hậu quả của tình trạng acid uric máu cao. Và vi tinh thể urat có vai trò chính trong cơ chế bệnh sinh của bệnh gout. Gout nếu không được chẩn đoán sớm, theo dõi và kiểm soát tốt thường để lại nhiều biến chứng nặng nề như: chuyển sang gout mạn, tạo sỏi thận, tổn thương khớp mạn tính do muối urat, suy thận...Do vậy bạn cần đến cơ sở y tế để được khám và chẩn đoán, điều trị và kiểm soát tốt bệnh gout theo Bác sĩ chuyên khoa cơ xương khớp."
"Khớp ngón tay sưng đau, chỉ số uric 216 là dấu hiệu bệnh gì?","Hoạt động bình thường ở khớp ngón tay: Xương ở lòng bàn tay là xương đốt bàn tay. Mỗi xương đốt bàn tay sẽ nối với xương đốt ngón tay. Những xương đốt ngón tay nhỏ sắp xếp nối tiếp nhau, tạo thành xương ngón tay. Các khớp ngón tay ở bàn tay (khớp bàn ngón tay) được tạo thành bởi sự kết nối giữa xương đốt ngón tay và xương đốt bàn tay. Khớp bàn ngón tay cử động như bản lề cho phép mỗi người dễ dàng gập ngón tay lại hoặc duỗi thẳng ngón tay ra. 3 xương đốt ngón tay ở mỗi ngón tay nối với nhau bởi 2 khớp, được gọi là khớp liên đốt ngón tay. Khớp gần với khớp bàn tay nhất được gọi là khớp liên đốt gần. Khớp nằm gần đầu ngón tay gọi là khớp liên đốt xa. Riêng ngón cái chỉ có một khớp liên đốt giữa 2 xương đốt ngón cái. Các khớp này cũng hoạt động như khớp bản lề khi gập, duỗi ngón tay. Các khớp ngón tay được bao phủ bên ngoài bởi lớp sụn khớp, có màu trắng và độ cứng như cao su. Sụn khớp có chức năng hấp thu các va chạm, tạo một bề mặt trơn láng để thuận lợi cho khớp chuyển động. Acid uric là một sản phẩm tự nhiên trong quá trình chuyển hóa nucleotide purine trong cơ thể. Loại nucleotide này có mặt trong thực phẩm mà con người tiêu thụ hàng ngày. Các purine sau khi đi vào cơ thể sẽ phản ứng với enzym có trong đường ruột tạo ra acid uric. Xét nghiệm Acid uric rất quan trọng trong chẩn đoán Gout tuy nhiên nó không phải là triệu chứng duy nhất. Đối với người bình thường lượng acid uric ở hai giới như sau: Đối với nam giới: 210 - 420 umol/L. Đối với nữ giới: 150 - 350 umol/L. Trường hợp của chị acid uric trong giới hạn bình thường. Vì không biết rõ chị bị đau ở khớp đốt bàn hay khớp đốt ngón nào? Bị đau từ bao giờ? Có bị va đập vào đau không? Đau có đột ngột và tăng lên về đêm không?Trường hợp của chị cần được khám và tư vấn bởi bác sĩ chuyên khoa để được khám và điều trị tốt nhất."
"hiện nay tôi rất quan tâm đến vấn đề tiêm chủng vaccine ngừa Covid. Hiện nay tôi đang bị các bệnh nền như huyết áp, tiểu đường, gout. Vậy xin tư vấn cho tôi có tiêm được không, và tiêm loại nào thì an toàn nhất, tôi đã 59 tuổi rồi.","Các bệnh nền như anh đang mắc như tăng huyết áp, đái tháo đường, gout, hiện tại theo quy định của Bộ Y tế không thuộc nhóm đối tượng chống chỉ định tiêm vaccine Covid-19. Tuy nhiên, anh phải hoãn tiêm khi đang trong đợt cấp. Anh không nói rõ hiện tại bệnh lý đã ổn định hay chưa. Do vậy, trước đó, anh nên kiểm tra lại sức khỏe của mình trước rồi quyết định tiêm được hay không."
